Gender_Female,Gender_Male,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Education_Graduate,Property_Area_Urban,Property_Area_Semiurban,Property_Area_Rural,Loan_Status,Predicted_Loan_Status,tp,tn,fp,fn
0,1,0,0,1,0,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,1,0,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,N,Y,0,0,1,0
0,1,0,0,0,1,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,N,Y,0,0,1,0
0,1,1,0,0,0,1,0,0,1,0,N,Y,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,Y,Y,1,0,0,0
1,0,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,0,0,1,0,1,0,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,1,0,0,0,1,Y,Y,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,0,0,1,0,1,0,0,0,1,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,0,0,1,1,0,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,1,0,0,1,0,Y,Y,1,0,0,0
1,0,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
1,0,0,1,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,1,0,1,0,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,1,0,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
1,0,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,N,Y,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,Y,Y,1,0,0,0
0,0,0,0,1,0,1,0,0,0,1,N,Y,0,0,1,0
1,0,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,1,0,0,1,0,0,1,0,Y,Y,1,0,0,0
0,1,0,0,1,0,1,0,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,Y,Y,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,N,N,0,1,0,0
1,0,0,0,0,1,0,1,1,0,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,0,1,0,0,0,1,1,0,0,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,0,1,1,0,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,0,0,1,Y,Y,1,0,0,0
0,1,1,0,0,0,1,0,0,0,1,Y,Y,1,0,0,0
1,0,0,0,1,0,1,0,0,1,0,Y,Y,1,0,0,0
1,0,1,0,0,0,0,1,0,1,0,Y,Y,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,N,Y,0,0,1,0
0,1,1,0,0,0,0,1,1,0,0,N,Y,0,0,1,0
